area,bedrooms,bathrooms,stories,parking,furnishingstatus,logprice,mainroadbin,guest_room,nbasement,hot_waterheating,air_conditioning,pref_area
10500,2,1,1,1,1,15.538277155705378,1,0,0,0,0,0
5500,3,2,2,1,1,15.538277155705378,1,0,0,0,0,0
6360,3,1,3,0,1,15.538277155705378,1,0,0,0,0,1
6600,4,2,1,0,1,15.538277155705378,1,0,1,0,0,1
5136,3,1,2,0,0,15.538277155705378,1,1,1,0,1,1
4400,4,1,2,2,1,15.532007542691781,1,0,0,0,1,1
5400,5,1,2,0,2,15.532007542691781,1,1,1,0,1,1
3300,3,3,2,0,1,15.525698373498518,1,0,1,0,0,0
3650,3,2,2,2,1,15.525698373498518,1,0,0,0,0,0
6100,3,2,1,2,2,15.525698373498518,1,0,1,0,0,1
6900,3,1,1,0,1,15.524431748883325,1,1,1,0,0,1
2817,4,2,2,1,2,15.51934914581986,0,1,1,0,0,0
7980,3,1,1,2,1,15.51934914581986,1,0,0,0,0,0
3150,3,2,1,0,2,15.512959347721088,1,1,1,0,1,0
6210,4,1,4,0,2,15.512959347721088,1,1,0,0,1,0
6100,3,1,3,0,1,15.512959347721088,1,1,0,0,1,1
6600,4,2,2,0,1,15.512959347721088,1,1,1,0,0,1
6825,3,1,1,0,1,15.506528457390797,1,1,1,0,1,1
6710,3,2,2,1,2,15.50005594288518,1,1,1,0,0,1
6450,3,2,1,0,0,15.498756397543094,1,1,1,1,0,0
7800,3,1,1,2,0,15.486983861317826,1,0,1,0,1,1
4600,2,2,1,2,1,15.480383177286475,1,0,0,0,1,0
4260,4,1,2,0,2,15.473738634567807,1,0,1,0,1,0
6540,4,2,2,0,1,15.473738634567807,0,0,0,0,1,0
5500,3,2,1,0,1,15.473738634567807,1,0,1,0,0,0
10269,3,1,1,1,1,15.473738634567807,1,0,0,0,0,1
8400,3,1,2,2,0,15.473738634567807,1,1,1,0,1,1
5300,4,2,1,0,0,15.473738634567807,1,0,0,0,1,1
3800,3,1,2,1,0,15.473738634567807,1,1,1,0,0,1
9800,4,2,2,2,1,15.473738634567807,1,1,0,0,0,0
8520,3,1,1,2,2,15.473738634567807,1,0,0,0,1,0
6050,3,1,1,0,1,15.47240441155467,1,0,1,0,0,1
7085,3,1,1,2,1,15.469730613170269,1,1,1,0,0,1
3180,3,2,2,2,1,15.46704964641701,1,0,0,0,0,0
4500,4,2,1,2,1,15.46704964641701,0,0,1,0,1,0
7200,3,1,2,1,2,15.46704964641701,1,1,1,0,0,1
3410,3,1,2,0,1,15.453535927250288,0,0,0,0,1,0
7980,3,1,1,1,1,15.453535927250288,1,0,0,0,0,1
3000,3,2,2,0,2,15.446709962179888,1,1,1,0,0,0
3000,3,1,2,0,0,15.446709962179888,1,0,1,0,0,0
11410,2,1,2,0,2,15.446709962179888,1,0,0,0,0,1
6100,3,1,1,0,1,15.446709962179888,1,0,1,0,1,1
5720,2,1,2,0,0,15.439837082892126,1,0,0,0,1,1
3540,2,1,1,0,1,15.432916640047551,0,1,1,0,0,0
7600,4,1,2,2,2,15.432916640047551,1,0,0,0,1,0
10700,3,1,2,0,1,15.432916640047551,1,1,1,0,0,0
6600,3,1,1,0,2,15.432916640047551,1,1,1,0,0,1
4800,2,1,1,0,1,15.431526785758496,1,1,1,0,0,0
8150,3,2,1,0,1,15.425947970731459,1,1,1,0,0,0
4410,4,3,2,2,1,15.418930398072812,1,0,1,0,0,0
7686,3,1,1,0,1,15.418930398072812,1,1,1,1,0,0
2800,3,2,2,1,1,15.41610952173117,0,0,1,0,1,0
5948,3,1,2,0,1,15.411863230849718,1,0,0,0,1,0
4200,3,1,2,1,2,15.40617331507204,1,0,0,0,0,0
4520,3,1,2,0,1,15.404745763080856,1,0,1,0,1,0
4095,3,1,2,0,1,15.404745763080856,0,1,1,0,1,0
4120,2,1,1,1,1,15.404745763080856,1,0,1,0,0,0
5400,4,1,2,0,1,15.404745763080856,1,0,0,0,0,0
4770,3,1,1,0,1,15.404745763080856,1,1,1,0,0,0
6300,3,1,1,2,1,15.404745763080856,1,0,0,0,1,0
5800,2,1,1,0,1,15.404745763080856,1,1,1,0,1,0
3000,3,1,2,0,1,15.404745763080856,1,0,1,0,1,0
2970,3,1,3,0,1,15.404745763080856,1,0,0,0,0,0
6720,3,1,1,0,0,15.404745763080856,1,0,0,0,0,0
4646,3,1,2,2,1,15.404745763080856,1,1,1,0,0,0
12900,3,1,1,2,2,15.404745763080856,1,0,0,0,0,0
3420,4,2,2,2,1,15.40331617027126,1,0,1,0,1,0
4995,4,2,1,0,1,15.40331617027126,1,0,1,0,0,0
4350,2,1,1,0,0,15.397577273602243,1,0,1,0,0,0
4160,3,1,3,0,0,15.390357025628756,1,0,0,0,0,0
6040,3,1,1,2,1,15.390357025628756,1,0,0,0,0,1
6862,3,1,2,2,2,15.390357025628756,1,0,0,0,1,1
4815,2,1,1,0,1,15.390357025628756,1,0,0,0,1,1
7000,3,1,2,0,0,15.383084266299676,1,0,1,0,0,0
8100,4,1,4,2,1,15.383084266299676,1,0,1,0,1,0
3420,4,2,2,0,1,15.377227734186963,1,0,0,0,0,0
9166,2,1,1,2,1,15.375758226207603,1,0,1,0,1,0
6321,3,1,2,1,2,15.375758226207603,1,0,1,0,1,0
10240,2,1,1,2,0,15.375758226207603,1,0,0,0,1,1
6440,2,1,1,3,1,15.374286555596147,1,0,0,0,1,0
5170,3,1,4,0,1,15.360943140422462,1,0,0,0,1,0
6000,2,1,1,1,2,15.360943140422462,1,0,1,0,1,0
3630,3,1,2,2,1,15.360943140422462,1,0,0,0,0,0
9667,4,2,2,1,1,15.360943140422462,1,1,1,0,0,0
5400,2,1,2,0,1,15.360943140422462,1,0,0,0,0,1
4320,3,1,1,0,1,15.360943140422462,1,0,0,0,0,1
3745,3,1,2,0,2,15.353452468693305,1,0,1,0,0,0
4160,3,1,1,0,0,15.345905263057922,1,1,1,0,1,0
3880,3,2,2,2,1,15.345905263057922,1,0,1,0,0,0
5680,3,1,2,1,1,15.345905263057922,1,1,0,0,1,0
2870,2,1,2,0,1,15.345905263057922,1,1,1,0,0,1
5010,3,1,2,0,1,15.345905263057922,1,0,1,0,0,0
4510,4,2,2,0,1,15.344388962539957,1,0,1,0,0,0
4000,3,1,2,1,2,15.338300663672703,1,0,0,0,0,0
3840,3,1,2,1,1,15.338300663672703,1,0,0,0,0,1
3760,3,1,1,2,1,15.330637790927133,1,0,0,0,0,0
3640,3,1,2,0,2,15.330637790927133,1,0,0,0,1,0
2550,3,1,2,0,2,15.330637790927133,1,0,1,0,0,0
5320,3,1,2,0,1,15.330637790927133,1,1,1,0,0,1
5360,3,1,2,2,0,15.330637790927133,1,0,0,0,0,1
3520,3,1,1,0,1,15.330637790927133,1,0,0,0,0,1
8400,4,1,4,3,0,15.330637790927133,1,0,0,0,0,0
4100,2,2,1,0,1,15.32909814474154,1,1,1,0,0,0
4990,4,2,2,0,2,15.32909814474154,1,1,1,0,0,1
3510,3,1,3,0,1,15.322915744833223,1,0,0,0,0,0
3450,3,1,2,1,1,15.322915744833223,1,0,1,0,0,0
9860,3,1,1,0,1,15.322915744833223,1,0,0,0,0,0
3520,2,1,2,0,2,15.322915744833223,1,0,0,0,0,1
4510,4,1,2,2,1,15.315133604391168,1,0,0,0,1,0
5885,2,1,1,1,0,15.315133604391168,1,0,0,0,1,0
4000,3,1,2,2,2,15.315133604391168,1,0,0,0,0,0
8250,3,1,1,0,2,15.315133604391168,1,0,0,0,0,0
4040,3,1,2,1,1,15.315133604391168,1,0,0,0,0,0
6360,2,1,1,1,2,15.313569882414985,1,0,1,0,1,0
3162,3,1,2,1,2,15.313569882414985,1,0,0,0,1,0
3510,3,1,2,0,1,15.313569882414985,1,0,0,0,0,0
3750,2,1,1,0,1,15.307290426930143,1,1,1,0,0,0
3968,3,1,2,0,1,15.299385247423029,0,0,0,0,0,0
4900,2,1,2,0,1,15.299385247423029,1,0,1,0,0,0
2880,3,1,2,0,1,15.297796684737891,1,0,0,0,0,1
4880,3,1,1,2,0,15.297796684737891,1,0,0,0,0,1
4920,3,1,2,1,1,15.297796684737891,1,0,0,0,0,0
4950,4,1,2,0,1,15.29301579913755,1,0,0,0,1,0
3900,3,1,2,0,0,15.291417077773852,1,0,0,0,0,0
4500,3,2,3,1,2,15.283384906076588,1,0,0,1,0,0
1905,5,1,2,0,1,15.283384906076588,0,0,1,0,0,0
4075,3,1,1,2,1,15.283384906076588,1,1,1,0,0,0
3500,4,1,2,2,2,15.283384906076588,1,0,0,0,0,0
6450,4,1,2,0,1,15.283384906076588,1,0,0,0,0,0
4032,2,1,1,0,2,15.278534451942837,1,0,1,0,0,0
4400,2,1,1,1,1,15.275287695843968,1,0,0,0,0,0
10360,2,1,1,1,1,15.275287695843968,1,0,0,0,0,1
3400,3,1,2,2,1,15.268762387209046,1,0,1,0,0,1
6360,2,1,1,0,2,15.267124385204808,1,0,0,0,0,0
6360,2,1,2,0,0,15.267124385204808,1,0,0,0,0,0
4500,2,1,1,2,2,15.267124385204808,1,0,0,0,1,0
2175,3,1,2,0,0,15.267124385204808,0,1,1,0,1,0
4360,4,1,2,0,2,15.267124385204808,1,0,0,0,0,0
7770,2,1,1,1,2,15.267124385204808,1,0,0,0,0,0
6650,3,1,2,0,1,15.258893886068291,1,1,0,0,0,0
2787,3,1,1,0,2,15.258893886068291,1,0,1,0,0,1
5500,3,1,2,0,0,15.250595083253597,1,0,0,0,1,0
5040,3,1,2,0,0,15.250595083253597,1,0,1,0,1,0
5850,2,1,1,2,1,15.250595083253597,1,1,1,0,0,0
2610,4,3,2,0,1,15.250595083253597,0,0,0,0,0,0
2953,3,1,2,0,0,15.250595083253597,1,0,1,0,1,0
2747,4,2,2,0,1,15.250595083253597,0,0,0,0,0,0
4410,2,1,1,1,0,15.250595083253597,0,0,0,0,0,0
4000,4,2,2,0,1,15.250595083253597,0,0,0,0,0,0
2325,3,1,2,0,1,15.250595083253597,0,0,0,0,0,0
4600,3,2,2,1,1,15.250595083253597,1,0,0,0,1,0
3640,3,2,2,0,0,15.250595083253597,1,0,1,0,0,0
5800,3,1,1,2,1,15.250595083253597,1,0,0,1,0,0
7000,3,1,1,3,2,15.250595083253597,1,0,0,0,0,0
4079,3,1,3,0,1,15.250595083253597,1,0,0,0,0,0
3520,3,1,2,0,1,15.250595083253597,1,0,0,0,0,1
2145,3,1,3,1,0,15.250595083253597,1,0,0,0,0,1
4500,3,1,1,0,2,15.250595083253597,1,0,1,0,0,0
8250,3,1,1,3,1,15.2489270261529,1,0,1,0,0,0
3450,3,1,2,1,1,15.2489270261529,1,0,0,0,0,0
4840,3,1,2,1,1,15.24222683358308,1,0,0,0,0,0
4080,3,1,2,2,1,15.24222683358308,1,0,0,0,0,0
4046,3,1,2,1,1,15.24222683358308,1,0,1,0,0,0
4632,4,1,2,0,1,15.233787964937216,1,0,0,0,1,0
5985,3,1,1,0,1,15.233787964937216,1,0,1,0,0,0
6060,2,1,1,1,1,15.232091611689038,1,0,1,0,0,0
3600,3,1,1,0,2,15.226131611075223,1,0,1,0,1,1
3680,3,2,2,0,1,15.225277275269306,1,0,0,0,0,0
4040,2,1,2,1,1,15.225277275269306,1,0,0,0,0,0
5600,2,1,1,0,1,15.225277275269306,1,0,0,0,1,0
5900,4,2,2,1,0,15.216693531577915,0,0,1,0,0,0
4992,3,2,2,2,0,15.216693531577915,1,0,0,0,0,0
4340,3,1,1,0,1,15.216693531577915,1,0,0,0,0,0
3000,4,1,3,2,1,15.216693531577915,1,0,1,0,1,0
4320,3,1,2,2,2,15.216693531577915,1,0,0,0,0,1
3630,3,2,2,2,1,15.208035468834801,1,0,0,1,0,0
3460,3,2,1,1,2,15.208035468834801,1,0,1,0,1,0
5400,3,1,1,3,1,15.208035468834801,1,0,0,0,0,0
4500,3,1,2,0,1,15.203678163465845,0,0,1,0,1,0
3460,4,1,2,0,1,15.203678163465845,1,0,0,0,1,0
4100,4,1,1,0,0,15.199301788866046,0,0,1,0,0,0
6480,3,1,2,1,1,15.199301788866046,0,0,0,0,1,0
4500,3,2,2,0,1,15.199301788866046,0,0,1,0,1,0
3960,3,1,2,0,2,15.199301788866046,1,0,0,0,0,0
4050,2,1,2,0,0,15.199301788866046,1,1,1,0,0,1
7260,3,2,1,3,2,15.181602211766645,1,1,1,0,0,0
5500,4,1,2,0,1,15.181602211766645,1,1,1,0,0,0
3000,3,1,2,0,1,15.181602211766645,1,0,0,0,0,0
3290,2,1,1,1,2,15.181602211766645,1,0,0,1,0,0
3816,2,1,1,2,2,15.181602211766645,1,0,1,0,1,0
8080,3,1,1,2,1,15.181602211766645,1,0,0,0,1,0
2145,4,2,1,0,0,15.181602211766645,1,0,1,0,0,1
3780,2,1,2,0,1,15.172633541783885,1,1,1,0,0,0
3180,4,2,2,0,2,15.172633541783885,1,0,0,0,0,0
5300,5,2,2,0,1,15.163583706263967,1,0,0,0,0,0
3180,2,2,1,2,1,15.163583706263967,1,0,1,0,0,0
7152,3,1,2,0,2,15.163583706263967,1,0,0,0,1,0
4080,2,1,1,0,1,15.163583706263967,1,0,0,0,0,0
3850,2,1,1,0,1,15.163583706263967,1,0,0,0,0,0
2015,3,1,2,0,1,15.163583706263967,1,0,1,0,0,1
2176,2,1,2,0,1,15.163583706263967,1,1,0,0,0,1
3350,3,1,2,0,0,15.159940714985465,1,0,0,0,0,0
3150,2,2,1,0,1,15.154451222700695,0,0,1,0,0,0
4820,3,1,2,0,1,15.14523456759577,1,0,0,0,0,0
3420,2,1,2,1,1,15.14523456759577,1,0,0,1,0,0
3600,2,1,1,0,1,15.14523456759577,1,0,0,0,0,0
5830,2,1,1,2,0,15.14523456759577,1,0,0,0,0,0
2856,3,1,3,0,2,15.14523456759577,1,0,0,0,0,1
8400,2,1,1,1,2,15.14523456759577,1,0,0,0,0,0
8250,3,1,1,2,2,15.143380998946448,1,0,0,0,0,0
2520,5,2,1,1,2,15.143380998946448,0,0,1,0,1,0
6930,4,1,2,1,2,15.143380998946448,0,0,0,0,0,0
3480,2,1,1,0,1,15.135932174933457,1,0,0,0,0,1
3600,3,1,1,1,0,15.126542434583618,1,0,0,0,0,0
4040,2,1,1,0,1,15.126542434583618,1,0,0,0,0,0
6020,3,1,1,0,1,15.126542434583618,1,0,0,0,0,0
4050,2,1,1,0,2,15.126542434583618,1,0,0,0,0,0
3584,2,1,1,0,1,15.126542434583618,1,0,0,1,0,0
3120,3,1,2,0,1,15.12465385989575,0,0,1,1,0,0
5450,2,1,1,0,2,15.12465385989575,1,0,0,0,0,0
3630,2,1,1,0,2,15.117063690629074,1,0,1,0,0,0
3630,2,1,1,0,0,15.117063690629074,1,0,0,0,1,0
5640,2,1,1,0,1,15.117063690629074,0,0,0,0,0,0
3600,2,1,1,0,2,15.117063690629074,1,0,0,0,0,0
4280,2,1,1,2,1,15.107494239612924,1,0,0,0,1,0
3570,3,1,2,0,1,15.107494239612924,1,0,1,0,0,0
3180,3,1,2,0,1,15.107494239612924,0,0,1,0,0,0
3000,2,1,2,0,2,15.107494239612924,1,0,0,0,1,0
3520,2,2,1,0,1,15.107494239612924,1,0,1,0,0,0
5960,3,1,2,0,0,15.107494239612924,1,1,1,0,0,0
4130,3,2,2,2,1,15.107494239612924,1,0,0,0,0,0
2850,3,2,2,0,0,15.107494239612924,0,0,1,0,0,1
2275,3,1,3,0,1,15.107494239612924,1,0,0,1,1,1
3520,3,1,1,2,0,15.10556931120334,1,0,0,0,0,1
4500,2,1,1,0,1,15.097832328701186,1,0,0,0,0,0
4000,2,1,1,0,1,15.097832328701186,1,0,0,0,0,1
3150,3,1,2,0,2,15.088076153755821,1,0,1,0,0,0
4500,4,2,2,2,2,15.088076153755821,1,0,1,0,0,0
4500,2,1,1,0,2,15.088076153755821,0,0,0,0,0,0
3640,2,1,1,0,0,15.088076153755821,1,0,0,0,0,0
3850,3,1,1,2,0,15.07822385731281,1,0,0,0,0,0
4240,3,1,2,0,1,15.068273526459642,1,0,0,0,1,0
3650,3,1,2,0,0,15.068273526459642,1,0,0,0,0,0
4600,4,1,2,0,1,15.068273526459642,1,0,0,0,0,0
2135,3,2,2,0,0,15.068273526459642,0,0,0,0,0,0
3036,3,1,2,0,1,15.068273526459642,1,0,1,0,0,0
3990,3,1,2,0,1,15.068273526459642,1,0,0,0,0,0
7424,3,1,1,0,0,15.068273526459642,0,0,0,0,0,0
3480,3,1,1,0,0,15.068273526459642,0,0,0,0,1,0
3600,6,1,2,1,0,15.068273526459642,1,0,0,0,0,0
3640,2,1,1,1,1,15.068273526459642,1,0,0,0,0,0
5900,2,1,1,1,2,15.068273526459642,1,0,0,0,0,0
3120,3,1,2,1,0,15.068273526459642,1,0,0,0,0,0
7350,2,1,1,1,1,15.068273526459642,1,0,0,0,0,0
3512,2,1,1,1,0,15.068273526459642,1,0,0,0,0,1
9500,3,1,2,3,0,15.068273526459642,1,0,0,0,0,1
5880,2,1,1,0,0,15.068273526459642,1,0,0,0,0,0
12944,3,1,1,0,0,15.068273526459642,1,0,0,0,0,0
4900,3,1,2,0,0,15.066271523788968,0,0,0,0,0,0
3060,3,1,1,0,0,15.05822319060614,1,0,0,0,0,0
5320,2,1,1,1,0,15.05822319060614,1,0,0,0,0,1
2145,3,1,3,0,2,15.05822319060614,1,0,0,0,0,1
4000,2,1,1,0,0,15.048070819142122,1,0,0,0,0,0
3185,2,1,1,2,0,15.048070819142122,1,0,0,0,0,0
3850,3,1,1,0,0,15.048070819142122,1,0,0,0,0,0
2145,3,1,3,0,2,15.048070819142122,1,0,0,0,0,1
2610,3,1,2,0,0,15.048070819142122,1,0,1,0,0,1
1950,3,2,2,0,0,15.048070819142122,1,0,1,0,0,1
4040,2,1,1,0,0,15.046027917512323,1,0,0,0,0,0
4785,3,1,2,1,2,15.037814318974933,1,1,1,0,1,0
3450,3,1,1,2,0,15.037814318974933,1,0,1,0,0,0
3640,2,1,1,0,2,15.037814318974933,1,0,0,0,0,0
3500,4,1,2,2,0,15.027451531939388,1,0,0,0,1,0
4960,4,1,3,0,1,15.027451531939388,0,0,0,0,0,0
